time,current_response,desired_reponse,error,pwm_val,dt,P,D,Corr
14.9,-2.85,90,92.85,70,13,92.85,142.85,235.7
29.59,-2.85,90,92.85,70,16,92.85,0,92.85
60.82,-2,90,92,70,33,92,-0.52,91.48
92.05,1.69,90,88.31,70,50,88.31,-1.47,86.84
123.28,6.29,90,83.71,70,50,83.71,-1.84,81.87
154.52,11.43,90,78.57,70,52,78.57,-1.98,76.59
185.76,17.1,90,72.9,70,52,72.9,-2.18,70.72
216.99,22.78,90,67.22,70,48,67.22,-2.37,64.85
248.22,28.28,90,61.72,70,51,61.72,-2.16,59.56
279.45,34.03,90,55.97,70,52,55.97,-2.21,53.76
310.68,40.1,90,49.9,70,53,49.9,-2.29,47.62
341.92,46.26,90,43.74,70,50,43.74,-2.47,41.28
373.14,52.45,90,37.55,70,52,37.55,-2.38,35.17
404.38,58.56,90,31.44,69,51,31.44,-2.39,29.05
435.61,64.7,90,25.3,62,52,25.3,-2.36,22.94
466.84,70.62,90,19.38,57,53,19.38,-2.23,17.15
498.07,76.01,90,13.99,51,51,13.99,-2.12,11.87
526.18,80.81,90,9.19,47,52,9.19,-1.85,7.34
554.3,84.75,90,5.25,43,49,5.25,-1.61,3.64
582.41,88.29,90,1.71,40,49,1.71,-1.45,0.26
613.64,91.25,90,-1.25,40,49,-1.25,-1.21,-2.46
644.87,93.18,90,-3.18,40,52,-3.18,-0.74,-3.92
675.06,91.25,90,-1.25,40,52,-1.25,0.74,-0.5
702.14,89.13,90,0.87,41,51,0.87,0.83,1.7
729.21,88.22,90,1.78,42,47,1.78,0.39,2.16
