time,current_response,desired_reponse,error,pwm_val,dt,P,D,Corr
7.86,-0.14,90,90.14,70,7,90.14,0,90.14
20.63,-0.14,90,90.14,70,9,90.14,0,90.14
50.82,0.94,90,89.06,70,32,89.06,0,89.06
81.02,4.48,90,85.52,70,49,85.52,0,85.52
111.22,8.97,90,81.03,70,49,81.03,0,81.03
141.41,14.2,90,75.8,70,50,75.8,0,75.8
171.6,19.71,90,70.29,70,51,70.29,0,70.29
201.79,25.1,90,64.9,70,51,64.9,0,64.9
231.99,30.73,90,59.27,70,51,59.27,0,59.27
262.18,36.27,90,53.73,70,52,53.73,0,53.73
292.38,41.86,90,48.14,70,55,48.14,0,48.14
322.57,47.3,90,42.7,70,51,42.7,0,42.7
352.76,52.57,90,37.43,70,50,37.43,0,37.43
382.96,58.02,90,31.98,70,52,31.98,0,31.98
413.16,63.48,90,26.52,66,47,26.52,0,26.52
443.35,68.88,90,21.12,61,51,21.12,0,21.12
473.54,73.78,90,16.22,56,51,16.22,0,16.22
503.74,78.5,90,11.5,51,50,11.5,0,11.5
530.81,82.86,90,7.14,47,51,7.14,0,7.14
557.88,86.56,90,3.44,43,48,3.44,0,3.44
584.96,89.65,90,0.35,40,49,0.35,0,0.35
615.16,92.5,90,-2.5,40,47,-2.5,0,-2.5
645.35,94.01,90,-4.01,40,51,-4.01,0,-4.01
675.55,92.28,90,-2.28,40,51,-2.28,0,-2.28
705.74,90.49,90,-0.49,40,51,-0.49,0,-0.49
732.82,88.58,90,1.42,41,50,1.42,0,1.42
759.9,87.54,90,2.46,42,49,2.46,0,2.46
786.97,89.33,90,0.67,40,48,0.67,0,0.67
817.17,91.15,90,-1.15,40,48,-1.15,0,-1.15
847.37,92.18,90,-2.18,40,50,-2.18,0,-2.18
877.56,90.66,90,-0.66,40,51,-0.66,0,-0.66
904.64,88.94,90,1.06,41,51,1.06,0,1.06
931.71,88.1,90,1.9,41,49,1.9,0,1.9
