time,current_response,desired_reponse,error,pwm_val,dt,P,D,Corr
9.33,0.39,90,89.61,70,8,89.61,168.02,257.63
23.76,0.39,90,89.61,70,11,89.61,0,89.61
54.99,1.46,90,88.54,70,32,88.54,-0.5,88.04
86.23,4.84,90,85.16,70,51,85.16,-0.99,84.17
117.46,9.17,90,80.83,70,50,80.83,-1.3,79.54
148.7,13.73,90,76.27,70,49,76.27,-1.4,74.87
179.94,18.75,90,71.25,70,52,71.25,-1.45,69.8
211.17,23.93,90,66.07,70,52,66.07,-1.49,64.57
242.41,29.36,90,60.64,70,53,60.64,-1.54,59.11
273.65,35.15,90,54.85,70,52,54.85,-1.67,53.18
304.88,40.9,90,49.1,70,52,49.1,-1.66,47.44
336.12,47,90,43,70,53,43,-1.73,41.28
367.36,53.18,90,36.82,70,51,36.82,-1.82,35
398.59,59.44,90,30.56,68,51,30.56,-1.84,28.72
429.83,65.73,90,24.27,62,53,24.27,-1.78,22.49
461.06,71.49,90,18.51,56,53,18.51,-1.63,16.88
492.3,76.64,90,13.36,51,52,13.36,-1.48,11.88
520.42,81.51,90,8.49,47,53,8.49,-1.38,7.12
548.53,85.7,90,4.3,42,48,4.3,-1.31,2.99
577.69,89.24,90,0.76,40,49,0.76,-1.08,-0.32
608.92,92.13,90,-2.13,40,50,-2.13,-0.87,-3
640.16,93.76,90,-3.76,40,52,-3.76,-0.47,-4.23
670.36,91.91,90,-1.91,40,51,-1.91,0.54,-1.36
