time,current_response,desired_reponse,error,pwm_val,dt,P,D,Corr
14.3,0,90,90,70,14,90,64.29,154.29
26.8,0,90,90,70,13,90,0,90
58.03,0.64,90,89.36,70,31,89.36,-0.21,89.15
89.26,4.28,90,85.72,70,50,85.72,-0.73,84.99
120.5,8.73,90,81.27,70,50,81.27,-0.89,80.38
151.73,13.72,90,76.28,70,51,76.28,-0.98,75.3
182.96,19.05,90,70.95,70,52,70.95,-1.03,69.93
214.19,24.47,90,65.53,70,52,65.53,-1.04,64.49
245.42,29.78,90,60.22,70,52,60.22,-1.02,59.2
276.66,35.4,90,54.6,70,52,54.6,-1.08,53.52
307.89,41.06,90,48.94,70,48,48.94,-1.18,47.76
339.13,46.92,90,43.08,70,51,43.08,-1.15,41.93
370.36,53.03,90,36.97,70,52,36.97,-1.17,35.8
401.6,59.06,90,30.94,69,51,30.94,-1.18,29.76
432.83,65.22,90,24.78,63,52,24.78,-1.19,23.59
464.06,71.26,90,18.74,57,52,18.74,-1.16,17.58
495.3,76.94,90,13.06,51,53,13.06,-1.07,11.98
523.41,82.13,90,7.87,46,51,7.87,-1.02,6.85
551.52,86.5,90,3.5,42,49,3.5,-0.89,2.61
