time,current_response,desired_reponse,error,pwm_val,dt,P,D,Corr
15.97,-0.06,90,90.06,70,15,90.06,6,96.07
31.93,-0.06,90,90.06,70,17,90.06,0,90.06
63.17,0.95,90,89.05,70,30,89.05,-0.03,89.02
94.4,4.44,90,85.56,70,50,85.56,-0.07,85.49
125.64,8.88,90,81.12,70,49,81.12,-0.09,81.02
156.88,13.97,90,76.03,70,51,76.03,-0.1,75.93
188.11,19.47,90,70.53,70,52,70.53,-0.11,70.42
219.35,25.37,90,64.63,70,55,64.63,-0.11,64.53
251.33,31.18,90,58.82,70,65,58.82,-0.09,58.73
282.57,37.34,90,52.66,70,44,52.66,-0.14,52.52
313.8,43.32,90,46.68,70,38,46.68,-0.16,46.52
345.04,49.37,90,40.63,70,51,40.63,-0.12,40.52
376.28,55.27,90,34.73,70,52,34.73,-0.11,34.62
407.51,61.26,90,28.74,68,52,28.74,-0.12,28.63
438.75,67.11,90,22.89,62,52,22.89,-0.11,22.78
469.99,73.05,90,16.95,56,52,16.95,-0.11,16.84
501.22,78.56,90,11.44,51,51,11.44,-0.11,11.33
529.34,83.29,90,6.71,46,53,6.71,-0.09,6.62
557.46,87.24,90,2.76,42,49,2.76,-0.08,2.68
588.69,90.59,90,-0.59,40,49,-0.59,-0.07,-0.65
619.93,92.72,90,-2.72,40,51,-2.72,-0.04,-2.77
650.12,90.89,90,-0.89,40,52,-0.89,0.04,-0.86
677.2,89.03,90,0.97,41,52,0.97,0.04,1.01
704.28,88.01,90,1.99,42,48,1.99,0.02,2.01
