time,current_response,desired_reponse,error,pwm_val,dt,P,D,Corr
15.34,3.1,90,86.9,70,14,86.9,155.18,242.08
30.58,3.1,90,86.9,70,17,86.9,0,86.9
61.82,3.59,90,86.41,70,28,86.41,-0.44,85.97
93.06,7.15,90,82.85,70,52,82.85,-1.71,81.14
124.29,11.56,90,78.44,70,50,78.44,-2.2,76.24
155.53,16.5,90,73.5,70,52,73.5,-2.37,71.13
186.76,21.81,90,68.19,70,47,68.19,-2.83,65.36
218,27.15,90,62.85,70,52,62.85,-2.57,60.29
249.24,32.62,90,57.38,70,52,57.38,-2.63,54.75
280.47,38.14,90,51.86,70,53,51.86,-2.6,49.26
311.71,43.71,90,46.29,70,49,46.29,-2.84,43.45
342.94,49.36,90,40.64,70,52,40.64,-2.71,37.93
374.18,55.02,90,34.98,70,52,34.98,-2.72,32.26
405.42,60.95,90,29.05,66,51,29.05,-2.91,26.15
436.65,67.01,90,22.99,60,53,22.99,-2.86,20.12
467.89,72.68,90,17.32,54,52,17.32,-2.73,14.59
498.09,77.97,90,12.03,49,51,12.03,-2.59,9.44
526.21,82.76,90,7.24,44,51,7.24,-2.35,4.89
554.32,86.65,90,3.35,41,49,3.35,-1.99,1.36
