time,current_response,desired_reponse,error,pwm_val
7.68,0.09,90,89.91,70
15.36,0.09,90,89.91,70
23.04,0.09,90,89.91,70
32.43,0.22,90,89.78,70
41.82,1.61,90,88.39,70
51.22,3.74,90,86.26,70
60.61,6.14,90,83.86,70
70,8.76,90,81.24,70
79.39,11.54,90,78.46,70
88.78,14.68,90,75.32,70
98.18,17.68,90,72.32,70
107.57,20.88,90,69.12,70
116.96,24.59,90,65.41,70
126.36,28.26,90,61.74,70
135.75,32.05,90,57.95,70
145.14,35.82,90,54.18,70
154.53,39.81,90,50.19,70
168.85,43.45,90,46.55,70
183.18,47.32,90,42.68,70
197.54,50.87,90,39.13,70
211.88,54.41,90,35.59,70
223.42,57.85,90,32.15,70
234.68,61.31,90,28.69,70
245.99,64.86,90,25.14,70
257.27,68.23,90,21.77,70
268.39,71.83,90,18.17,70
279.56,75.4,90,14.6,70
290.64,79,90,11,70
301.74,82.56,90,7.44,69
312.79,86.24,90,3.76,55
322.32,89.73,90,0.27,41
331.87,92.72,90,-2.72,50
341.43,95.1,90,-5.1,60
350.82,95.21,90,-5.21,60
360.22,93.7,90,-3.7,54
369.74,91.87,90,-1.87,47
379.26,89.77,90,0.23,40
388.71,88.57,90,1.43,45
398.16,89.12,90,0.88,43
407.61,90.4,90,-0.4,41
417.08,91.1,90,-1.1,44
