time,current_response,desired_reponse,error,pwm_val
11.46,-0.71,90,90.71,70
22.92,-0.71,90,90.71,70
34.34,-0.71,90,90.71,70
45.8,-0.42,90,90.42,70
55.54,0.56,90,89.44,70
67,2.71,90,87.29,70
76.68,5.04,90,84.96,70
86.35,7.78,90,82.22,70
97.79,10.54,90,79.46,70
109.28,13.53,90,76.47,70
120.76,16.99,90,73.01,70
132.3,20.53,90,69.47,70
143.87,24.32,90,65.68,70
155.44,28.04,90,61.96,70
167.13,31.95,90,58.05,70
178.81,35.65,90,54.35,70
193.92,39.37,90,50.63,70
209.06,43.14,90,46.86,70
224.26,46.87,90,43.13,70
239.4,50.56,90,39.44,70
248.8,54.22,90,35.78,70
258.19,57.98,90,32.02,70
267.59,61.7,90,28.3,68
276.98,65.35,90,24.65,64
286.37,68.97,90,21.03,61
295.76,72.57,90,17.43,57
305.16,75.78,90,14.22,54
314.55,78.93,90,11.07,51
322.9,81.84,90,8.16,48
331.25,84.59,90,5.41,45
339.6,86.98,90,3.02,43
347.96,89.12,90,0.88,40
357.35,91.25,90,-1.25,41
366.74,92.69,90,-2.69,42
376.13,92.35,90,-2.35,42
385.52,91.18,90,-1.18,41
