time,current_response
16.28,-0.28
32.54,-0.28
48.32,-0.22
64.24,-0.11
79.96,-0.11
95.72,-0.11
111.53,-0.18
127.26,-0.18
143.02,-0.28
158.66,-0.36
174.28,-0.29
189.88,-0.29
205.4,-0.23
221.02,-0.14
236.47,-0.04
251.91,0.11
267.29,0.27
282.74,0.35
298.18,0.43
313.53,0.53
328.78,0.66
344.03,0.74
359.29,0.84
374.51,0.93
389.75,0.93
404.87,0.93
419.92,0.93
435.01,1.08
450.12,1.35
465.21,1.57
480.51,1.7
495.66,1.86
510.8,1.94
525.89,2.07
540.96,2.24
555.97,2.4
571.12,2.47
586.23,2.56
601.15,2.67
616.06,2.77
631.03,2.77
645.83,2.83
660.62,2.91
675.46,3.01
690.25,3.16
704.95,3.3
719.65,3.47
734.26,3.6
748.79,3.66
763.31,3.77
777.92,3.9
792.45,4.01
806.93,4.17
821.39,4.23
835.69,4.23
849.95,4.23
864.28,4.23
878.45,4.35
892.64,4.56
906.82,4.65
920.96,4.65
935,4.7
948.96,4.7
962.89,4.7
976.8,4.78
990.74,4.85
1004.62,4.85
1018.5,4.85
1032.31,4.94
1046.07,5.03
1059.84,5.03
1073.54,5.03
1087.17,5.03
1100.75,5.09
1114.38,5.23
1127.87,5.35
1141.27,5.45
1154.58,5.54
1167.98,5.63
1181.38,5.75
1194.72,5.9
1208.06,5.9
1221.28,5.82
1234.54,5.82
1247.76,5.82
1261,5.82
1274.19,5.93
1287.22,6.05
1300.21,6.13
1313.1,6.13
1326.04,6.07
1338.92,6.07
1351.69,6.18
1364.46,6.18
1376.83,6.18
1389.14,6.12
1401.48,6.12
1414.02,6.12
1426.56,6.12
1439.26,6.12
1451.4,6.12
1463.37,6.2
1475.36,6.31
1487.27,6.38
1499.64,6.38
1511.98,6.44
1524.2,6.55
1535.98,6.68
1547.73,6.77
1559.43,6.77
1571.56,6.69
1583.66,6.62
1595.46,6.62
1607.26,6.62
1618.72,6.75
1630.61,6.86
1642.32,6.86
1653.82,6.86
1665.29,6.81
1676.85,6.73
1688.53,6.8
1700.22,6.8
1711.69,6.8
1722.9,6.8
1734.21,6.8
1745.48,6.75
1756.87,6.67
