time,current_response
30.05,-0.06
51.72,-0.06
73.38,-0.16
103.48,-0.25
125.15,-0.4
146.83,-0.48
176.93,-0.48
198.61,-0.25
220.28,-0.05
250.38,0.17
272.06,0.3
293.73,0.38
310.23,0.49
326.72,0.55
343.15,0.64
359.54,0.7
375.87,0.76
392.19,0.89
408.42,1.02
424.64,1.17
440.78,1.32
456.89,1.49
472.98,1.56
489.03,1.63
504.99,1.75
520.92,1.81
536.78,1.81
552.66,1.87
568.62,1.87
584.4,1.87
600.2,1.87
615.91,1.95
631.58,2.02
647.22,2.12
662.96,2.21
678.55,2.3
694.23,2.3
709.78,2.3
725.26,2.39
740.79,2.52
756.21,2.52
771.59,2.63
787,2.63
801.98,2.63
816.93,2.54
831.84,2.54
846.75,2.54
861.51,2.54
876.28,2.54
891.01,2.65
905.74,2.79
920.36,2.92
934.94,3.02
949.56,3.02
964.16,3.02
978.7,3.02
993.18,3.09
1007.68,3.09
1022.11,3.09
1036.46,2.97
1050.76,2.86
1065.06,2.8
1079.26,2.8
1093.48,2.89
1107.61,2.97
1121.76,2.97
1136.2,2.97
1150.58,2.97
1164.91,3.02
1179.12,3.17
1193.33,3.31
1207.46,3.31
1221.63,3.31
1235.74,3.26
1249.74,3.26
1263.7,3.26
1277.62,3.26
1291.52,3.26
1305.34,3.34
1319.17,3.44
1332.94,3.55
1346.67,3.61
1360.43,3.61
1374.14,3.61
1387.76,3.61
1401.33,3.61
1414.9,3.56
1428.38,3.46
1441.82,3.35
1455.22,3.29
1468.6,3.29
1481.9,3.29
1495.17,3.29
1508.4,3.29
1521.56,3.29
1534.68,3.23
1547.83,3.23
1560.87,3.33
1573.84,3.45
1586.87,3.51
1599.86,3.43
1612.73,3.34
1625.63,3.34
1638.41,3.34
1651.23,3.34
1663.96,3.34
1676.65,3.42
1689.36,3.42
1702,3.47
1714.65,3.55
1727.25,3.55
1739.82,3.55
1752.37,3.55
1764.77,3.55
1777.13,3.55
1789.46,3.5
1801.72,3.38
1813.95,3.28
1826.1,3.28
1838.29,3.28
1850.33,3.28
1862.43,3.28
1874.49,3.28
