time,current_response
30.07,-0.22
51.74,-0.22
73.4,-0.22
103.5,-0.22
125.18,-0.28
146.85,-0.52
176.96,-0.62
198.64,-0.62
220.3,-0.62
250.42,-0.51
272.08,-0.64
293.76,-0.7
323.86,-0.76
345.54,-0.82
367.22,-0.82
384.04,-0.93
400.83,-1.01
417.55,-1.01
434.26,-1.01
450.93,-1.01
467.59,-1.01
484.2,-0.95
500.74,-0.95
517.22,-0.95
533.69,-0.86
550.18,-0.75
566.57,-0.5
582.94,-0.38
599.26,-0.46
615.55,-0.46
631.76,-0.56
648.05,-0.75
664.22,-0.75
680.44,-0.75
696.63,-0.75
712.66,-0.82
728.75,-0.82
744.87,-0.82
760.94,-0.82
776.84,-0.82
792.67,-0.82
808.59,-0.76
824.5,-0.76
840.31,-0.85
856.01,-0.96
871.8,-1.06
887.42,-1.06
902.99,-1.06
918.54,-1.06
934.16,-1.06
949.62,-1.11
965.1,-1.06
980.52,-0.93
995.84,-0.79
1011.24,-0.68
1026.51,-0.62
1041.77,-0.62
1056.9,-0.62
1072.07,-0.62
1087.1,-0.62
1102.06,-0.68
1117.02,-0.79
1131.98,-0.79
1146.82,-0.84
1161.6,-0.91
1176.36,-0.91
1191.06,-0.84
1205.7,-0.75
1220.3,-0.7
1234.8,-0.79
1249.18,-0.9
1263.41,-0.9
1277.86,-0.9
1291.98,-0.9
1306.1,-0.9
1320.18,-0.9
1334.21,-1
1348.24,-1.05
1362.25,-1.05
1376.12,-0.98
1390.38,-0.82
1404.27,-0.82
1418.09,-0.76
1432.15,-0.76
1445.92,-0.64
1459.61,-0.56
1473.44,-0.56
1487.16,-0.65
1500.87,-0.73
1514.38,-0.79
1528.15,-0.79
1541.93,-0.79
1555.67,-0.87
1569.34,-0.87
1582.96,-0.87
1596.58,-0.94
1609.93,-0.94
1623.2,-0.94
1636.34,-0.88
1649.43,-0.8
1662.48,-0.8
1675.9,-0.8
1689.16,-0.86
1702.35,-0.86
1715.44,-0.86
1728.49,-0.73
1741.24,-0.54
1753.9,-0.45
1766.52,-0.45
1779.15,-0.51
1791.68,-0.51
1804.18,-0.51
1816.54,-0.42
1828.9,-0.42
1841.23,-0.47
1853.47,-0.53
