time,current_response
16.21,0.23
32.49,0.23
48.71,0.28
64.94,0.34
81.14,0.26
97.47,0.11
113.63,-0.04
129.84,-0.2
146.09,-0.46
162.17,-0.53
178.3,-0.58
194.4,-0.58
210.48,-0.58
226.59,-0.58
242.66,-0.58
258.6,-0.63
274.48,-0.71
290.32,-0.71
306.14,-0.71
321.92,-0.66
337.77,-0.66
353.5,-0.66
369.18,-0.66
384.82,-0.66
400.44,-0.59
416.04,-0.59
431.64,-0.59
447.13,-0.54
462.53,-0.54
477.9,-0.48
493.22,-0.43
508.51,-0.36
523.83,-0.28
539.03,-0.28
554.28,-0.28
569.38,-0.38
584.47,-0.38
599.58,-0.32
614.63,-0.15
629.55,-0.15
644.5,-0.15
659.42,-0.23
674.26,-0.31
689.04,-0.31
703.84,-0.37
718.55,-0.52
733.24,-0.64
747.89,-0.64
762.59,-0.64
777.16,-0.64
791.75,-0.64
806.44,-0.64
820.95,-0.54
835.45,-0.36
849.96,-0.27
864.5,-0.27
878.88,-0.27
892.9,-0.27
907.24,-0.27
921.16,-0.34
934.95,-0.34
948.79,-0.34
962.54,-0.34
976.3,-0.34
989.99,-0.41
1003.64,-0.41
1017.3,-0.33
1031.25,-0.08
1044.72,-0.08
1058.63,-0.08
1072.42,-0.23
1086.1,-0.38
1099.75,-0.38
1113.3,-0.38
1126.75,-0.47
1140.08,-0.54
1153.22,-0.54
1166.34,-0.54
1179.43,-0.47
1192.5,-0.47
1205.5,-0.47
1218.89,-0.47
1231.82,-0.41
1244.67,-0.32
1257.66,-0.32
1270.46,-0.32
1283.18,-0.48
1295.89,-0.61
1308.48,-0.66
1321.06,-0.56
1333.53,-0.48
1345.95,-0.34
1358.3,-0.34
1370.64,-0.34
1382.93,-0.29
1395.24,-0.16
1407.49,-0.16
1420,-0.16
1432.49,-0.27
1444.86,-0.42
1457.18,-0.51
1469.4,-0.65
1481.82,-0.77
1494.09,-0.72
1506.37,-0.5
1518.64,-0.28
1530.94,-0.23
1542.91,-0.23
1554.88,-0.23
1566.8,-0.14
1578.59,-0.14
1590.45,-0.14
1602.31,-0.25
1614.18,-0.36
1626.01,-0.42
1637.82,-0.51
1649.6,-0.57
1661.14,-0.57
1672.54,-0.5
1683.86,-0.5
1695.16,-0.37
1706.43,-0.16
