time,current_response
30.06,0.61
51.72,0.61
73.38,0.35
90.51,0.22
107.63,0.03
124.7,-0.16
141.63,-0.43
158.58,-0.7
175.6,-0.77
192.49,-0.96
209.3,-0.96
226.08,-0.96
242.89,-0.96
259.64,-1.04
276.29,-1.04
293,-1.04
309.7,-0.96
326.28,-0.91
342.81,-0.91
359.31,-0.96
375.72,-0.96
392.16,-1.04
408.64,-1.12
425.1,-1.2
441.49,-1.2
457.86,-1.2
474.06,-1.2
490.2,-1.2
506.32,-1.2
522.42,-1.2
538.59,-1.2
554.6,-1.14
570.59,-1.09
586.54,-1.09
602.42,-1.15
618.29,-1.25
634.12,-1.4
649.88,-1.4
665.6,-1.45
681.38,-1.45
697.14,-1.51
712.75,-1.6
728.31,-1.6
743.99,-1.55
759.47,-1.55
774.94,-1.47
790.39,-1.47
805.76,-1.47
821.15,-1.47
836.45,-1.41
851.68,-1.41
866.9,-1.49
882.07,-1.54
897.18,-1.54
912.24,-1.54
927.24,-1.47
942.27,-1.47
957.23,-1.47
972.08,-1.4
986.9,-1.4
1001.74,-1.31
1016.51,-1.17
1031.26,-1.09
1045.98,-1.09
1060.6,-1.09
1075.18,-1.09
1089.78,-1.09
1104.32,-1.21
1118.82,-1.27
1133.25,-1.38
1147.73,-1.44
1162.04,-1.38
1176.32,-1.28
1190.55,-1.28
1204.75,-1.28
1218.91,-1.28
1233.06,-1.28
1247.24,-1.28
1261.29,-1.28
1275.34,-1.23
1289.38,-1.23
1303.34,-1.33
1316.96,-1.33
1330.92,-1.28
1344.48,-1.28
1357.96,-1.33
1371.48,-1.44
1384.87,-1.44
1398.21,-1.44
1411.54,-1.44
1424.74,-1.44
1438,-1.44
1451.23,-1.44
1464.47,-1.44
1477.52,-1.53
1490.63,-1.53
1503.64,-1.53
1516.57,-1.45
1529.45,-1.36
1542.34,-1.36
1555.13,-1.36
1567.9,-1.36
1580.68,-1.36
1593.37,-1.36
1606,-1.29
1618.51,-1.29
1630.97,-1.35
1643.52,-1.41
1655.98,-1.54
1668.38,-1.54
1680.68,-1.47
1692.94,-1.47
1705.21,-1.47
1717.34,-1.47
1729.46,-1.47
1741.52,-1.47
1753.55,-1.39
1766.07,-1.39
1777.99,-1.45
1789.87,-1.55
